model,quantile,scaled_pinball
ets,0.025,0.014532615461780562
ets,0.1,0.05800089106856338
ets,0.25,0.13641775477721102
ets,0.5,0.2203186770307886
ets,0.75,0.4074608365715693
ets,0.9,0.2876454976114632
ets,0.975,0.11074290819924631
lightgbm,0.025,0.01564010567554919
lightgbm,0.1,0.058597125216051836
lightgbm,0.25,0.13515091204538815
lightgbm,0.5,0.22870118962088176
lightgbm,0.75,0.24509276551275555
lightgbm,0.9,0.16830823936945274
lightgbm,0.975,0.07211770469992626
sarima,0.025,0.014522633193595676
sarima,0.1,0.060384724430182696
sarima,0.25,0.14081575269921265
sarima,0.5,0.24433673706844486
sarima,0.75,0.3278574987299708
sarima,0.9,0.21848447054979922
sarima,0.975,0.08276962598455162
snaive,0.025,0.020520917004408105
snaive,0.1,0.07058899229651053
snaive,0.25,0.16465967821178162
snaive,0.5,0.26530612630966355
snaive,0.75,0.5107553301367248
snaive,0.9,0.36821553000549656
snaive,0.975,0.14018721746620108
