model,policy,nominal_quantile,empirical_coverage,calibration_gap,avg_understock,avg_overstock
ets,q50,0.5,0.7079831932773109,0.20798319327731085,0.6896518218569094,0.5710365853535999
ets,q75,0.75,0.9059873949579832,0.1559873949579832,0.19205668563781406,3.9944081820752664
ets,q90,0.9,0.9663865546218487,0.06638655462184873,0.06619382308208008,7.448211495801952
lightgbm,q50,0.5,0.7195378151260504,0.21953781512605042,0.6215877787358709,0.7087241982967005
lightgbm,q75,0.75,0.8613445378151261,0.1113445378151261,0.304193522110679,1.9370081181218934
lightgbm,q90,0.9,0.9238445378151261,0.023844537815126077,0.17716393604610936,3.3268113094902043
sarima,q50,0.5,0.717436974789916,0.21743697478991597,0.6897226435554341,0.7324451584363023
sarima,q75,0.75,0.8939075630252101,0.14390756302521013,0.2176288689410221,3.155156189915668
sarima,q90,0.9,0.9627100840336135,0.06271008403361344,0.07865622061899011,5.624177016858879
snaive,q50,0.5,0.7111344537815125,0.21113445378151252,0.8665966386554622,0.6559873949579832
snaive,q75,0.75,0.9380252100840336,0.1880252100840336,0.13797648780362876,5.441834301336991
snaive,q90,0.9,0.9873949579831933,0.0873949579831933,0.029149960122666088,10.296200144583784
